,titre,budget,recette,duree,realisateur,casting,compagnies_production,suite,Comedy,Drama,Horror,Thriller,Action,Adventure,Science Fiction,Fantasy,Family,Crime,Romance,Animation,Mystery,War,Music,Western,History,Documentary,TV Movie,benefice global,saison,casting_score_sum,casting_score_mean,casting_score_med,casting_score_min,casting_score_max,director_score_sum,director_score_mean,director_score_med,director_score_min,director_score_max,compagnies_score_sum,compagnies_score_mean,compagnies_score_med,compagnies_score_min,compagnies_score_max
10,The Pacifier,56000000,198636868,95,['Adam Shankman'],"['Vin Diesel', 'Lauren Graham', 'Faith Ford', 'Brittany Snow', 'Max Thieriot', 'Chris Potter', 'Carol Kane', 'Brad Garrett', 'Morgan York', 'Tate Donovan', 'Scott Thompson', 'Denis Akiyama', 'Mung-Ling Tsui', 'Allison Lynn', 'Gabriel Antonacci', 'Mary Pitt', 'Dan Sutcliffe', 'Vanessa Cobham', 'Jordan Allison', 'Rachael Dolan', 'Charlotte Szivak', 'Toya Alexis', 'Valerie Boyle', 'Karla Jang', 'Silver Kim', 'Robert Yeretch', 'Scott Hurst', 'Christie Allaire', 'Stephanie Allaire', 'Amy Allicock', 'Helena Chow', 'Joella Crichton', 'Laura Jeanes', 'Rebecca Priestley', 'Taryn Ash', 'Catherine Burdon', 'Tommy Chang', 'Alexander Conti', 'David Lipper', 'Tig Fong', 'Maria Georgas', 'Nikki Shah', 'Jordan Todosey', 'Emi Yaguchi-Chow', 'Demetrius Joyette', 'Christopher Lortie', 'Sotiri Georgas', 'Steven Georgas', 'Gannon Racki', 'Seth Howard', 'Marcus Hutchings', 'David Sparrow', 'Evelyn Kaye', 'Christian Laurin', 'John MacDonald', 'Billy Oliver', 'Curtis Parker', 'Matt Purdy', 'Jean Pearson', 'Kyle Schmid', 'Robert Thomas', 'Michael Quintero', 'Cameron Hickox', 'Cade Courtley', 'Cassius Willis', 'Jeff Podgurski', 'F. Valentino Morales', 'Charles Haugk', 'Scott Reiff', 'Darryl Dinn', 'Liam McGuckian', 'Khristian Lupo']","['Walt Disney Pictures', 'Spyglass Entertainment']",1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,254.70869285714284,3,79,1.0972222222222223,0,0,72,11,11.0,11,11,11,92,46.0,46,9,83
11,Just My Luck,28000000,38159905,103,['Donald Petrie'],"['Lindsay Lohan', 'Chris Pine', 'Samaire Armstrong', 'Bree Turner', 'Faizon Love', 'Missi Pyle', 'Makenzie Vega', 'Carlos Ponce', 'Danny Jones', 'Tom Fletcher', 'Harry Judd', 'Dougie Poynter', 'Tovah Feldshuh', 'Dane Rhodes', 'Jaqueline Fleming', 'Ira Hawkins', 'J.C. Sealy', 'Mikki Val', 'Marcus Hester', 'Ameer Baraka', 'Anne Ewen', 'Hannah Tointon', 'Mark Wystrach']","['20th Century Fox', 'Regency Enterprises', 'Cheyenne Enterprises', 'New Regency Pictures']",1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,36.285375,3,28,1.2173913043478262,0,0,22,6,6.0,6,6,6,81,20.25,13,0,54
12,Unleashed,45000000,50871113,103,['Louis Leterrier'],"['Jet Li', 'Morgan Freeman', 'Bob Hoskins', 'Vincent Regan', 'Dylan Brown', 'Tamer Hassan', 'Phyllida Law', 'Michael Jenn', 'Carole Ann Wilson', 'Kerry Condon', 'Mike Ian Lambert', 'Puthirith Chou', 'Jaclyn Tze Wey', 'Tony Theng', 'Owen Lay', 'Andy Beckwith', 'Franck Xie Cheng', 'Michael Webber', 'Georgina Chapman', 'Danielle Louise Harley', 'Affif Ben Badra', 'Miguel Eduardo Cueva', 'Scott Adkins', 'Patrick Vo', 'Marc Hoang', 'Sebastien Soudais', 'Laurence Ashley', 'Jeff Rudom', 'Alex Lawson', 'Stuart Lawson', 'Audifax Kinga', 'Eric Mondoloni', 'Vanessa Mateo', 'Alain Figlarz', 'Grégory Feurté', 'Amedéo Cazzella', 'Manu Lanzi', 'Santi Sudaros', 'Valérie Hénin', 'Seydina Baldé', 'Patrick Médioni', 'Jean-François Lenogue', 'Christophe Weyer', 'Vincent Haquin', 'Tarik Zitouni', 'Joseph Beddelem', 'William Cagnard', 'Ksénia Zarouba', 'Nic Stevens', 'Ken Chung', 'Oumar Diaoure', 'Eric Etje', 'Pierre Rousselle', 'Karim Hocini', 'Loïc Molla', 'Patrick Oliver', 'Kazu Patrick Tang', 'Michaël Troude', 'Vincent Chatelain', 'Tarick Hadouch', 'Scott Rider', 'Pascal Lopez', 'Pierre-Quentin Faesch', 'Clara Creantor', 'Christelle Senechal', 'Isabelle Didier', 'Gwenael Mairey', 'Ariadna Cascaval', 'Ludmila Henry', 'Rébecca Hazan', 'Hyggins Sansa', 'Christian Gazio', 'Matthieu Albertini', 'Georges Benoit', 'Osana Ekue', 'Kathy Farkas', 'Friedrich Hartwig', 'Victor Izquierdo', 'Igor Joly-Erard', 'Sety Diaby', 'Gilles Louzon', 'Kamel Tazit', 'Tyana Raboana', 'Jean Atonga', 'Jamal Bellyazid', 'Serge Gnaly', 'Fred Zanolino', 'Michel Flasch', 'Iouri Zagorski', 'Silvio Simac']","['Canal+', 'Rogue Pictures', 'TF1 Films Production', 'Current Entertainment', 'Clubdeal', 'EuropaCorp', 'Danny the Dog Productions', 'Qian Yian International']",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.04691777777778,3,52,0.5777777777777777,0,0,32,12,12.0,12,12,12,44,5.5,1,0,34
13,Honey,18000000,62646763,94,['Bille Woodruff'],"['Jessica Alba', 'Mekhi Phifer', 'Joy Bryant', 'Romeo Miller', 'David Moscow', 'Zachary Isaiah Williams', 'Missy Elliott', 'Anthony Sherwood', 'Lonette McKee', 'Maestro', 'Judi Embden', 'Alison Sealy-Smith', 'Scott Neil', 'Sarah Francis', 'Jull Weber', 'Kevin Duhaney', 'Brandi Ward', 'Fonzworth Bentley', 'Tracy Dawson', 'Laurieann Gibson', 'Shawn Desman']","['Universal Pictures', 'Marc Platt Productions', 'NuAmerica Entertainment']",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,248.0375722222222,2,12,0.5714285714285714,0,0,12,1,1.0,1,1,1,104,34.666666666666664,5,0,99
14,Very Bad Things,30000000,9898412,100,['Peter Berg'],"['Christian Slater', 'Cameron Diaz', 'Jon Favreau', 'Leland Orser', 'Jeremy Piven', 'Daniel Stern', 'Jeanne Tripplehorn', 'Rob Brownstein', 'Blake Gibbons', 'Tyler Cole Malinger', 'Joey Zimmerman', 'Russell B. McKenzie', 'Kobe Tai', 'Pancho Demmings', 'Lawrence Pressman', 'Brian Grandison', 'John Cappon', 'Steve Fitchpatrick', 'Angelo Di Mascio Jr.', 'Linda Klein']","['PolyGram Filmed Entertainment', 'Initial Entertainment Group', 'Interscope Communications', 'VBT Productions', 'Ballpark Productions Partnership']",1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-67.00529333333334,1,80,4.0,0,0,40,14,14.0,14,14,14,4,0.8,1,0,2
15,Banlieue 13,12000000,9584131,84,['Pierre Morel'],"['David Belle', 'Cyril Raffaelli', ""Tony D'Amario"", 'Dany Verissimo-Petit', 'Bibi Naceri', 'Nicolas Woirion', 'François Chattot', 'Patrick Olivier', 'Samir Guesmi', 'Azad', 'Turan Bagci', 'Ludovic Berthillot', 'Tarik Boucekhine', 'Grégory Jean', 'Warren Zavatta', 'Nicolas Wan Park', 'Dominique Dorol', 'Gilles Gambino', 'Chamsi Charlesia', 'Jérôme Gadner', 'Affif Ben Badra', 'Stephane Vigroux', 'Jérôme Paquatte', 'Lyes Salem']","['Canal+', 'TF1 Films Production', 'EuropaCorp']",1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-20.132241666666665,2,0,0.0,0,0,0,3,3.0,3,3,3,8,2.6666666666666665,3,0,5
16,Joan of Arc,85000000,66976317,158,['Luc Besson'],"['Milla Jovovich', 'Dustin Hoffman', 'Faye Dunaway', 'John Malkovich', 'Vincent Cassel', 'Tchéky Karyo', 'Rab Affleck', 'Stéphane Algoud', 'Edwin Apps', 'David Bailie', 'Timothy Bateson', 'David Begg', 'Dominic Borrelli', 'John Boswall', 'Matthew Bowyer', 'Paul Brooke', 'Bruce Byron', 'Charles Cork', ""Tony D'Amario"", 'Daniel Daujon', 'Tonio Descanvelle', 'Philippe du Janerand', 'Sissi Duparc', 'Barbara Elbourn', 'Christian Erickson', 'David Barber', 'Joseph Rezwin', 'Jemima West', 'Timothy West', 'Christian Barbier', 'Toby Jones', 'Michael Jenn', 'Pascal Greggory']","['Columbia Pictures', 'Gaumont', 'Okko Production']",1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-21.20433294117647,2,82,2.484848484848485,0,0,38,11,11.0,11,11,11,96,32.0,2,0,94
17,Stealth,135000000,76932943,121,['Rob Cohen'],"['Josh Lucas', 'Jessica Biel', 'Jamie Foxx', 'Sam Shepard', 'Joe Morton', 'Ebon Moss-Bachrach', 'Richard Roxburgh', 'David Andrews', 'Wentworth Miller', 'Ian Bliss', 'Alexandra Davies', 'Caroline de Souza Correa', 'Jaipetch Toonchalong', 'Megan Gale', 'Jason Lee', 'Michael McCabe', 'Robert L. Keane', 'Blazey Best', 'Michael Denkha', 'Harli Ames', 'Adriano Cappelletta', 'Lucia Mastrantone', 'Randall Mettam', 'Dorian Nkono', 'Miles Paras', 'Paul Pantano', 'Rocky Helton', 'Clayton Adams', 'Maurice Morgan', 'Woody Naismith', 'Charles Ndibe', 'Nicholas Hammond', 'Joel Tobeck', 'John Waters', 'Sara Saliba', 'Jim Diamond', 'Jaffar Hussain', 'Gary Quay', 'Rowan Schlosberg', 'Jason Chan', 'Mathew Wilkinson', 'Johann Walraven', 'Ilya Melnikoff', 'Nikolai Nikolaeff', 'Warwick Young', 'Paul Donazzan', 'Vanessa Trezise', 'Matthew Jorgensen']","['Laura Ziskin Productions', 'Original Film', 'Phoenix Pictures']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-43.01263481481482,1,55,1.1458333333333333,0,0,22,13,13.0,13,13,13,26,8.666666666666666,5,3,18
18,Dragonfly,60000000,52322400,104,['Tom Shadyac'],"['Kevin Costner', 'Joe Morton', 'Ron Rifkin', 'Susanna Thompson', 'Kathy Bates', 'Jacob Smith', 'Robert Bailey Jr.', 'Jay Thomas', 'Lisa Banes', 'Matt Craven', 'Leslie Hope', 'Kim Staunton', 'Liza Weil', 'Nigel Gibbs', 'Casey Biggs', 'Heidi Swedberg', 'Mary Beth Fisher', 'Jamie Sue Sherrill', 'Samantha Smith', 'Peter Hansen', ""Deirdre O'Connell"", 'Linda Hunt', 'Justina Machado']","['Universal Pictures', 'Spyglass Entertainment', 'Shady Acres Entertainment', 'Gran Via Productions', 'Buena Vista International', 'Kalima Productions GmbH & Co. KG', 'Touchstone Pictures', 'NDE Productions']",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-12.796,3,26,1.1304347826086956,0,0,22,14,14.0,14,14,14,140,17.5,5,0,99
19,When a Stranger Calls,15000000,67062123,87,['Simon West'],"['Camilla Belle', 'Katie Cassidy', 'Tommy Flanagan', 'Brian Geraghty', 'Clark Gregg', 'Derek de Lint', 'Kate Jennings Grant', 'Steve Eastin', 'Karina Logue', 'Dianna Agron', 'Tessa Thompson', 'David Denman', 'Arthur Young', 'Madeline Carroll', 'Escher Holloway', ""Rosine 'Ace' Hatem"", 'Molly Bryant', 'John Bobek', 'Brad Surosky', 'Owen Smith', 'John Waugh', 'Lance Henriksen']","['Davis Entertainment', 'Screen Gems']",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,347.08082,3,39,1.7727272727272727,0,0,15,10,10.0,10,10,10,42,21.0,21,8,34
20,Spy Kids,35000000,147934180,88,['Robert Rodriguez'],"['Alexa PenaVega', 'Daryl Sabara', 'Antonio Banderas', 'Carla Gugino', 'Alan Cumming', 'Tony Shalhoub', 'Teri Hatcher', 'Robert Patrick', 'Dick Clark', 'George Clooney', 'Cheech Marin', 'Danny Trejo', 'Mike Judge', 'Johnny Reno', 'Kara Slack', 'Trant Batey']","['Miramax', 'Dimension Films', 'Troublemaker Studios']",1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,322.6690857142857,3,73,4.5625,2,0,32,14,14.0,14,14,14,5,1.6666666666666667,2,0,3
21,The Three Musketeers,30000000,53898845,105,['Stephen Herek'],"['Kiefer Sutherland', ""Chris O'Donnell"", 'Oliver Platt', 'Charlie Sheen', 'Tim Curry', 'Rebecca De Mornay', 'Paul McGann', 'Gabrielle Anwar', 'Michael Wincott', 'Julie Delpy', ""Hugh O'Conor"", 'Christopher Adamson', 'Philip Tan', 'Erwin Leder', 'Axel Anselm', 'Bruno Thost', 'Oliver Hoppa', 'Emma Moore', 'Herbert Fux', 'Nichola Cordey', 'Sebastian Eckhardt', 'Bob Anderson', 'Maria Ford']","['Walt Disney Pictures', 'Caravan Pictures']",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,79.66281666666667,2,14,0.6086956521739131,0,0,6,6,6.0,6,6,6,83,41.5,41,0,83
22,Get Rich or Die Tryin',40000000,46442528,117,['Jim Sheridan'],"['50 Cent', 'Joy Bryant', 'Adewale Akinnuoye-Agbaje', 'Omar Benson Miller', 'Terrence Howard', 'Viola Davis', 'Ashley Walters', 'Tory Kittles', 'Marc John Jefferies', 'Sullivan Walker', 'Bill Duke', 'Mpho Koaho', 'Serena Reeder', 'Russell Hornsby', 'Vanessa Madden', 'Joseph Pierre', 'Ryan Allen', 'Brendan Jeffers', 'Anastasia Hill', 'Zainab Musa', 'Lawrence Bayne', 'Boyd Banks', 'Lenno Britos', 'Mykelti Williamson', 'Leon']","['Paramount', 'MTV Films', 'Cent Productions Inc.']",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,16.10632,2,23,0.92,0,0,11,1,1.0,1,1,1,3,1.0,0,0,3
23,Escape from L.A.,50000000,42277365,97,['John Carpenter'],"['Kurt Russell', 'Stacy Keach', 'Steve Buscemi', 'A.J. Langer', 'Bruce Campbell', 'Pam Grier', 'Peter Fonda', 'Georges Corraface', 'Robert Carradine', 'Michelle Forbes', 'Valeria Golino', 'Leland Orser', 'Al Leong', 'James Lew', 'Breckin Meyer', 'Ina Romeo', 'Peter Jason', 'Jordan Baker', 'Caroleen Feeney', 'Paul Bartel', 'Shelly Desai', 'Julien Cesario', 'Cliff Robertson', 'Thomas Rosales Jr.', 'John Koyama', 'Leo Lee', 'Stuart Quan', 'Wyatt Russell', 'Jamie Lee Curtis']","['Paramount', 'Rysher Entertainment']",2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-15.44527,1,38,1.3103448275862069,0,0,16,2,2.0,2,2,2,9,4.5,4,0,9
24,The Amityville Horror,19000000,108047131,90,['Andrew Douglas'],"['Ryan Reynolds', 'Melissa George', 'Jesse James', 'Jimmy Bennett', 'Chloë Grace Moretz', 'Rachel Nichols', 'Philip Baker Hall', 'Isabel Conner', 'Brendan Donaldson', 'Annabel Armour', 'Rich Komenich', 'David Gee', 'Danny McCarthy', 'Nancy Lollar', 'José Taitano', 'Lenore Thomas', 'Marie Joelyn', 'Dorian Kingi', 'Alan Koeppen', 'Ryan Kross', 'Sam Raysby', 'Jenny Strubin']","['Metro-Goldwyn-Mayer', 'Radar Pictures', 'Platinum Dunes', 'Dimension Films']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.66911052631576,0,47,2.136363636363636,0,0,34,1,1.0,1,1,1,36,9.0,3,1,28
25,House of Wax,40000000,68766121,113,['Jaume Collet-Serra'],"['Elisha Cuthbert', 'Chad Michael Murray', 'Brian Van Holt', 'Paris Hilton', 'Jared Padalecki', ""Robert Ri'chard"", 'Jon Abrahams', 'Damon Herriman', 'Dragicia Debert', 'Murray Smith', 'Thomas Adamson', 'Sam Harkess', 'Emma Lung', 'Andy Anderson', 'Kendal Rae']","['Village Roadshow Pictures', 'Warner Bros. Pictures', 'Dark Castle Entertainment']",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.9153025,0,2,0.1333333333333333,0,0,2,12,12.0,12,12,12,1,0.3333333333333333,0,0,1
